Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.141,0.225,0.779,0.791,3.378
1,unpaired,2,12,0.149,0.359,0.892,0.831,3.23
2,unpaired,4,6,0.149,0.375,0.883,0.84,3.243
3,unpaired,10,2,0.149,0.386,0.877,0.857,3.173
4,unpaired,20,1,0.144,0.341,0.858,0.857,3.169
5,unpaired,2,25,0.149,0.399,0.9,0.827,3.176
6,unpaired,4,12,0.145,0.387,0.893,0.843,3.186
7,unpaired,10,5,0.149,0.407,0.892,0.858,3.187
8,unpaired,20,2,0.143,0.382,0.875,0.862,3.147
9,unpaired,2,50,0.15,0.437,0.908,0.826,3.116
10,unpaired,4,25,0.145,0.411,0.902,0.837,3.165
11,unpaired,10,10,0.148,0.461,0.9,0.861,3.172
12,unpaired,20,5,0.145,0.427,0.891,0.865,3.152
13,paired,2,12,0.942,0.01,0.707,0.625,1.518
14,paired,4,6,0.981,0.002,0.632,0.648,1.427
15,paired,10,2,0.952,0.002,0.61,0.617,1.409
16,paired,20,1,0.974,0.004,0.564,0.682,1.385
17,paired,2,25,0.932,0.023,0.72,0.643,1.501
18,paired,4,12,0.949,0.003,0.638,0.648,1.422
19,paired,10,5,0.938,0.002,0.621,0.615,1.415
20,paired,20,2,0.975,0.003,0.564,0.68,1.381
21,paired,2,50,0.963,0.003,0.634,0.621,1.411
22,paired,4,25,0.962,0.002,0.632,0.611,1.411
23,paired,10,10,1.035,0.004,0.582,0.685,1.389
24,paired,20,5,0.556,0.435,0.877,0.838,2.672
25,GT,0,0,0.078,0.968,1.0,1.0,2.842
