Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.396,0.163,0.9,0.872,3.191
1,unpaired,2,12,0.385,0.223,0.93,0.874,3.167
2,unpaired,4,6,0.381,0.259,0.923,0.864,3.196
3,unpaired,10,2,0.396,0.248,0.926,0.876,3.108
4,unpaired,20,1,0.387,0.268,0.919,0.887,3.174
5,unpaired,2,25,0.39,0.253,0.935,0.871,3.14
6,unpaired,4,12,0.38,0.298,0.926,0.868,3.177
7,unpaired,10,5,0.384,0.32,0.924,0.885,3.133
8,unpaired,20,2,0.389,0.303,0.92,0.89,3.149
9,unpaired,2,50,0.393,0.272,0.941,0.868,3.144
10,unpaired,4,25,0.373,0.329,0.931,0.866,3.146
11,unpaired,10,10,0.385,0.338,0.929,0.891,3.158
12,unpaired,20,5,0.388,0.387,0.93,0.893,3.168
13,paired,2,12,0.921,0.003,0.787,0.681,1.52
14,paired,4,6,0.932,0.003,0.735,0.677,1.673
15,paired,10,2,0.909,0.007,0.761,0.717,1.827
16,paired,20,1,0.836,0.053,0.788,0.828,2.102
17,paired,2,25,0.886,0.071,0.889,0.803,1.838
18,paired,4,12,0.732,0.262,0.844,0.771,2.19
19,paired,10,5,0.782,0.208,0.894,0.852,2.466
20,paired,20,2,0.908,0.014,0.744,0.763,1.707
21,paired,2,50,0.457,0.675,0.946,0.861,2.732
22,paired,4,25,0.632,0.602,0.931,0.861,2.745
23,paired,10,10,0.521,0.683,0.931,0.883,2.782
24,paired,20,5,0.655,0.548,0.925,0.892,2.697
25,GT,0,0,0.132,0.976,1.0,1.0,3.161
