Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,1.295,0.183,0.699,0.674,3.257
1,unpaired,2,12,1.294,0.198,0.742,0.737,3.084
2,unpaired,4,6,1.256,0.225,0.768,0.724,2.988
3,unpaired,10,2,1.585,0.183,0.736,0.716,3.021
4,unpaired,20,1,1.396,0.185,0.725,0.737,3.008
5,unpaired,2,25,1.134,0.229,0.755,0.749,2.997
6,unpaired,4,12,1.289,0.235,0.763,0.723,2.949
7,unpaired,10,5,1.263,0.234,0.762,0.726,2.922
8,unpaired,20,2,1.225,0.215,0.735,0.748,2.938
9,unpaired,2,50,1.147,0.265,0.778,0.759,2.927
10,unpaired,4,25,1.306,0.283,0.791,0.734,2.898
11,unpaired,10,10,1.086,0.279,0.758,0.737,2.867
12,unpaired,20,5,1.139,0.27,0.752,0.765,2.875
13,paired,2,12,1.075,0.037,0.679,0.609,1.569
14,paired,4,6,1.06,0.032,0.671,0.613,1.591
15,paired,10,2,1.086,0.06,0.679,0.631,1.772
16,paired,20,1,1.16,0.074,0.72,0.66,1.864
17,paired,2,25,1.088,0.042,0.686,0.62,1.526
18,paired,4,12,1.105,0.037,0.67,0.617,1.58
19,paired,10,5,1.109,0.054,0.686,0.646,1.714
20,paired,20,2,1.402,0.09,0.72,0.655,1.818
21,paired,2,50,1.144,0.238,0.785,0.715,2.463
22,paired,4,25,1.168,0.202,0.816,0.676,2.278
23,paired,10,10,1.13,0.134,0.809,0.686,2.05
24,paired,20,5,1.17,0.142,0.774,0.722,1.98
25,GT,0,0,0.237,0.992,1.0,1.0,2.574
