Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.223,0.129,0.892,0.917,2.969
1,unpaired,2,12,0.232,0.148,0.944,0.886,2.863
2,unpaired,4,6,0.224,0.145,0.937,0.892,2.863
3,unpaired,10,2,0.224,0.145,0.928,0.902,2.821
4,unpaired,20,1,0.225,0.144,0.93,0.909,2.826
5,unpaired,2,25,0.227,0.169,0.952,0.885,2.859
6,unpaired,4,12,0.223,0.155,0.948,0.891,2.863
7,unpaired,10,5,0.223,0.162,0.936,0.906,2.843
8,unpaired,20,2,0.226,0.145,0.929,0.907,2.817
9,unpaired,2,50,0.221,0.216,0.955,0.879,2.831
10,unpaired,4,25,0.223,0.179,0.954,0.889,2.849
11,unpaired,10,10,0.224,0.167,0.944,0.905,2.832
12,unpaired,20,5,0.224,0.173,0.94,0.906,2.857
13,paired,2,12,0.826,0.007,0.919,0.806,1.954
14,paired,4,6,0.76,0.007,0.906,0.82,2.171
15,paired,10,2,0.809,0.006,0.846,0.84,1.998
16,paired,20,1,0.162,0.418,0.932,0.898,2.92
17,paired,2,25,0.286,0.301,0.951,0.859,2.733
18,paired,4,12,0.26,0.278,0.947,0.861,2.744
19,paired,10,5,0.25,0.304,0.928,0.876,2.756
20,paired,20,2,0.584,0.094,0.903,0.874,2.547
21,paired,2,50,0.758,0.019,0.92,0.809,2.14
22,paired,4,25,0.829,0.008,0.865,0.836,1.999
23,paired,10,10,0.158,0.389,0.942,0.888,2.918
24,paired,20,5,0.165,0.402,0.936,0.892,2.963
25,GT,0,0,0.096,0.329,1.0,1.0,2.974
