Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.046,0.906,0.898,0.842,3.359
1,unpaired,2,12,0.047,0.912,0.911,0.829,3.247
2,unpaired,4,6,0.045,0.92,0.905,0.831,3.237
3,unpaired,10,2,0.048,0.922,0.889,0.835,3.261
4,unpaired,20,1,0.048,0.922,0.88,0.83,3.289
5,unpaired,2,25,0.046,0.915,0.923,0.826,3.238
6,unpaired,4,12,0.048,0.918,0.915,0.837,3.243
7,unpaired,10,5,0.048,0.921,0.902,0.832,3.242
8,unpaired,20,2,0.048,0.929,0.892,0.83,3.246
9,unpaired,2,50,0.046,0.916,0.924,0.828,3.227
10,unpaired,4,25,0.047,0.922,0.926,0.841,3.235
11,unpaired,10,10,0.046,0.92,0.913,0.84,3.194
12,unpaired,20,5,0.048,0.929,0.901,0.832,3.227
13,paired,2,12,0.055,0.922,0.927,0.782,3.148
14,paired,4,6,0.063,0.937,0.929,0.801,3.105
15,paired,10,2,0.075,0.931,0.89,0.801,3.147
16,paired,20,1,0.085,0.926,0.877,0.807,3.113
17,paired,2,25,0.041,0.946,0.947,0.792,3.109
18,paired,4,12,0.047,0.953,0.941,0.816,3.16
19,paired,10,5,0.053,0.953,0.915,0.823,3.113
20,paired,20,2,0.051,0.948,0.898,0.821,3.112
21,paired,2,50,0.038,0.967,0.948,0.803,3.12
22,paired,4,25,0.038,0.966,0.951,0.819,3.145
23,paired,10,10,0.047,0.958,0.93,0.831,3.065
24,paired,20,5,0.043,0.97,0.904,0.832,3.121
25,GT,0,0,0.023,0.981,1.0,1.0,3.111
