Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.679,0.412,0.849,0.853,3.286
1,unpaired,2,12,0.842,0.493,0.904,0.837,2.65
2,unpaired,4,6,0.851,0.485,0.908,0.847,2.644
3,unpaired,10,2,0.85,0.511,0.91,0.85,2.655
4,unpaired,20,1,0.862,0.516,0.906,0.841,2.668
5,unpaired,2,25,0.674,0.555,0.9,0.838,3.109
6,unpaired,4,12,0.677,0.572,0.881,0.858,3.09
7,unpaired,10,5,0.675,0.587,0.891,0.869,3.145
8,unpaired,20,2,0.679,0.611,0.879,0.839,3.176
9,unpaired,2,50,0.67,0.591,0.921,0.829,3.136
10,unpaired,4,25,0.674,0.605,0.896,0.858,3.1
11,unpaired,10,10,0.672,0.614,0.889,0.867,3.15
12,unpaired,20,5,0.678,0.62,0.881,0.846,3.178
13,paired,2,12,1.358,0.174,0.763,0.608,1.457
14,paired,4,6,1.026,0.122,0.77,0.66,1.533
15,paired,10,2,1.018,0.14,0.712,0.691,1.433
16,paired,20,1,1.037,0.102,0.682,0.59,1.444
17,paired,2,25,0.876,0.513,0.912,0.812,2.619
18,paired,4,12,0.692,0.839,0.909,0.829,2.941
19,paired,10,5,0.65,0.916,0.913,0.872,3.128
20,paired,20,2,0.972,0.167,0.794,0.772,1.811
21,paired,2,50,0.454,0.85,0.942,0.807,2.977
22,paired,4,25,0.645,0.922,0.917,0.851,3.078
23,paired,10,10,0.976,0.197,0.799,0.773,1.84
24,paired,20,5,0.444,0.886,0.906,0.847,3.05
25,GT,0,0,0.097,0.977,1.0,0.999,3.109
