Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.814,0.059,0.879,0.866,3.102
1,unpaired,2,12,0.854,0.109,0.93,0.873,3.064
2,unpaired,4,6,0.756,0.103,0.924,0.872,3.052
3,unpaired,10,2,0.788,0.099,0.909,0.877,3.005
4,unpaired,20,1,0.759,0.119,0.895,0.878,2.984
5,unpaired,2,25,0.764,0.144,0.929,0.872,3.017
6,unpaired,4,12,0.808,0.124,0.93,0.868,3.073
7,unpaired,10,5,0.777,0.137,0.916,0.874,3.036
8,unpaired,20,2,0.722,0.139,0.906,0.882,2.988
9,unpaired,2,50,0.773,0.188,0.935,0.864,3.03
10,unpaired,4,25,0.761,0.156,0.933,0.865,3.038
11,unpaired,10,10,0.729,0.171,0.92,0.87,3.038
12,unpaired,20,5,0.736,0.169,0.909,0.884,2.994
13,paired,2,12,1.014,0.058,0.788,0.772,1.643
14,paired,4,6,0.995,0.065,0.748,0.765,1.729
15,paired,10,2,0.978,0.041,0.835,0.787,1.827
16,paired,20,1,0.993,0.046,0.798,0.751,1.695
17,paired,2,25,0.638,0.569,0.947,0.864,2.962
18,paired,4,12,0.714,0.497,0.938,0.859,2.922
19,paired,10,5,0.496,0.826,0.934,0.876,3.024
20,paired,20,2,0.259,0.963,0.938,0.887,3.054
21,paired,2,50,0.762,0.574,0.95,0.855,2.872
22,paired,4,25,0.496,0.859,0.944,0.87,2.992
23,paired,10,10,0.253,0.971,0.941,0.874,3.097
24,paired,20,5,0.279,0.974,0.933,0.892,3.011
25,GT,0,0,0.075,0.984,1.0,1.0,3.028
