Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.132,0.18,0.803,0.847,3.764
1,unpaired,2,12,0.129,0.229,0.849,0.828,3.517
2,unpaired,4,6,0.122,0.214,0.832,0.841,3.586
3,unpaired,10,2,0.132,0.198,0.81,0.836,3.628
4,unpaired,20,1,0.13,0.189,0.814,0.847,3.641
5,unpaired,2,25,0.123,0.235,0.851,0.826,3.501
6,unpaired,4,12,0.124,0.222,0.845,0.841,3.511
7,unpaired,10,5,0.131,0.242,0.832,0.842,3.589
8,unpaired,20,2,0.124,0.24,0.821,0.842,3.632
9,unpaired,2,50,0.12,0.307,0.857,0.828,3.467
10,unpaired,4,25,0.124,0.254,0.85,0.845,3.508
11,unpaired,10,10,0.125,0.24,0.829,0.842,3.568
12,unpaired,20,5,0.13,0.283,0.824,0.845,3.604
13,paired,2,12,0.153,0.885,0.907,0.805,2.841
14,paired,4,6,0.194,0.787,0.891,0.835,3.011
15,paired,10,2,0.142,0.873,0.887,0.844,2.994
16,paired,20,1,0.553,0.12,0.804,0.821,3.296
17,paired,2,25,0.153,0.89,0.916,0.805,2.826
18,paired,4,12,0.192,0.789,0.903,0.831,2.931
19,paired,10,5,0.14,0.824,0.862,0.843,3.163
20,paired,20,2,0.213,0.699,0.821,0.846,3.281
21,paired,2,50,0.191,0.835,0.907,0.811,2.945
22,paired,4,25,0.146,0.882,0.917,0.842,2.936
23,paired,10,10,0.124,0.925,0.881,0.844,3.184
24,paired,20,5,0.12,0.914,0.869,0.855,3.102
25,GT,0,0,0.055,0.985,1.0,1.0,2.651
