Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.313,0.15,0.826,0.759,3.219
1,unpaired,2,12,0.321,0.204,0.864,0.77,3.077
2,unpaired,4,6,0.301,0.236,0.855,0.778,3.039
3,unpaired,10,2,0.309,0.218,0.86,0.784,2.974
4,unpaired,20,1,0.316,0.226,0.859,0.808,2.932
5,unpaired,2,25,0.322,0.241,0.865,0.76,3.037
6,unpaired,4,12,0.313,0.275,0.864,0.777,2.999
7,unpaired,10,5,0.298,0.239,0.865,0.8,2.952
8,unpaired,20,2,0.32,0.245,0.863,0.818,2.985
9,unpaired,2,50,0.302,0.281,0.9,0.774,3.024
10,unpaired,4,25,0.295,0.304,0.861,0.773,2.991
11,unpaired,10,10,0.297,0.287,0.868,0.815,2.949
12,unpaired,20,5,0.308,0.269,0.869,0.817,2.978
13,paired,2,12,0.998,0.01,0.517,0.501,1.355
14,paired,4,6,0.916,0.012,0.539,0.509,1.368
15,paired,10,2,1.14,0.013,0.541,0.475,1.354
16,paired,20,1,1.031,0.015,0.554,0.496,1.347
17,paired,2,25,1.003,0.01,0.606,0.505,1.366
18,paired,4,12,1.022,0.014,0.574,0.534,1.386
19,paired,10,5,1.074,0.012,0.555,0.514,1.364
20,paired,20,2,0.993,0.02,0.554,0.562,1.344
21,paired,2,50,0.925,0.042,0.682,0.538,1.398
22,paired,4,25,0.898,0.038,0.683,0.588,1.404
23,paired,10,10,1.03,0.014,0.567,0.533,1.401
24,paired,20,5,1.002,0.013,0.534,0.511,1.359
25,GT,0,0,0.051,0.985,0.984,0.978,2.87
