Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.229,0.081,0.886,0.88,3.21
1,unpaired,2,12,0.227,0.097,0.91,0.88,3.114
2,unpaired,4,6,0.228,0.097,0.912,0.885,3.127
3,unpaired,10,2,0.215,0.091,0.902,0.88,3.156
4,unpaired,20,1,0.216,0.102,0.896,0.888,3.112
5,unpaired,2,25,0.206,0.114,0.916,0.879,3.085
6,unpaired,4,12,0.217,0.091,0.915,0.888,3.093
7,unpaired,10,5,0.225,0.114,0.905,0.876,3.115
8,unpaired,20,2,0.218,0.106,0.894,0.885,3.116
9,unpaired,2,50,0.204,0.123,0.917,0.882,3.071
10,unpaired,4,25,0.22,0.113,0.92,0.891,3.072
11,unpaired,10,10,0.214,0.133,0.913,0.884,3.103
12,unpaired,20,5,0.206,0.123,0.902,0.89,3.099
13,paired,2,12,0.888,0.043,0.862,0.791,2.268
14,paired,4,6,0.913,0.064,0.824,0.724,1.89
15,paired,10,2,0.913,0.067,0.797,0.734,1.851
16,paired,20,1,0.924,0.079,0.798,0.702,1.905
17,paired,2,25,0.921,0.056,0.846,0.751,1.975
18,paired,4,12,0.483,0.184,0.917,0.849,3.045
19,paired,10,5,0.361,0.33,0.907,0.862,3.086
20,paired,20,2,0.542,0.187,0.896,0.847,2.945
21,paired,2,50,0.48,0.206,0.914,0.842,3.039
22,paired,4,25,0.356,0.354,0.927,0.863,3.068
23,paired,10,10,0.518,0.227,0.903,0.848,2.916
24,paired,20,5,0.304,0.411,0.899,0.858,3.035
25,GT,0,0,0.022,0.96,1.0,1.0,3.037
