Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.244,0.261,0.909,0.876,2.975
1,unpaired,2,12,0.234,0.222,0.942,0.846,2.818
2,unpaired,4,6,0.227,0.245,0.936,0.86,2.881
3,unpaired,10,2,0.232,0.247,0.923,0.863,2.888
4,unpaired,20,1,0.234,0.241,0.924,0.87,2.941
5,unpaired,2,25,0.226,0.215,0.945,0.842,2.798
6,unpaired,4,12,0.226,0.245,0.945,0.868,2.894
7,unpaired,10,5,0.232,0.26,0.927,0.862,2.906
8,unpaired,20,2,0.23,0.256,0.928,0.86,2.913
9,unpaired,2,50,0.235,0.216,0.949,0.84,2.812
10,unpaired,4,25,0.227,0.259,0.942,0.864,2.882
11,unpaired,10,10,0.231,0.257,0.936,0.862,2.899
12,unpaired,20,5,0.231,0.262,0.929,0.859,2.896
13,paired,2,12,0.661,0.154,0.913,0.85,2.41
14,paired,4,6,0.242,0.474,0.925,0.874,2.739
15,paired,10,2,0.317,0.343,0.904,0.875,2.701
16,paired,20,1,0.517,0.179,0.895,0.882,2.642
17,paired,2,25,0.639,0.146,0.924,0.853,2.403
18,paired,4,12,0.253,0.493,0.938,0.876,2.744
19,paired,10,5,0.319,0.376,0.912,0.877,2.707
20,paired,20,2,0.513,0.188,0.902,0.879,2.637
21,paired,2,50,0.234,0.669,0.949,0.845,2.723
22,paired,4,25,0.193,0.77,0.937,0.877,2.824
23,paired,10,10,0.207,0.749,0.933,0.872,2.851
24,paired,20,5,0.215,0.753,0.916,0.873,2.896
25,GT,0,0,0.12,0.984,1.0,1.0,2.971
