Unnamed: 0,type,spk,utt,CER,LI,seen,unseen,ut_mos
0,zero,0,0,0.68,0.031,0.751,0.791,3.158
1,unpaired,2,12,0.715,0.073,0.841,0.799,2.607
2,unpaired,4,6,0.662,0.071,0.822,0.806,2.71
3,unpaired,10,2,0.668,0.05,0.804,0.806,2.726
4,unpaired,20,1,0.666,0.055,0.808,0.813,2.817
5,unpaired,2,25,0.676,0.13,0.84,0.812,2.503
6,unpaired,4,12,0.709,0.114,0.835,0.81,2.599
7,unpaired,10,5,0.665,0.086,0.827,0.803,2.642
8,unpaired,20,2,0.687,0.059,0.825,0.821,2.566
9,unpaired,2,50,0.674,0.189,0.846,0.818,2.527
10,unpaired,4,25,0.687,0.139,0.845,0.819,2.566
11,unpaired,10,10,0.7,0.111,0.83,0.81,2.541
12,unpaired,20,5,0.692,0.093,0.832,0.815,2.509
13,paired,2,12,0.937,0.015,0.699,0.596,1.353
14,paired,4,6,0.907,0.048,0.675,0.608,1.415
15,paired,10,2,0.905,0.101,0.716,0.653,1.579
16,paired,20,1,0.913,0.081,0.649,0.69,1.621
17,paired,2,25,1.052,0.166,0.796,0.712,1.632
18,paired,4,12,0.935,0.16,0.777,0.698,1.668
19,paired,10,5,0.982,0.151,0.767,0.724,1.705
20,paired,20,2,0.977,0.164,0.771,0.75,1.913
21,paired,2,50,0.768,0.652,0.855,0.764,2.11
22,paired,4,25,0.686,0.734,0.846,0.781,2.251
23,paired,10,10,0.797,0.421,0.812,0.765,2.083
24,paired,20,5,0.829,0.414,0.788,0.749,2.032
25,GT,0,0,0.046,0.987,1.0,1.0,2.035
